id,determination_score,determination_id,event_id,date,deployment_id,deployment_name,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,species,bbox
826311,1.0,6762,10345,Aug 27 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Clemensia,Clemensia albata,"[7844.0, 2887.0, 8061.0, 3103.0]"
826312,0.5674839019775391,11613,10368,May 19 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7941.0, 5396.0, 9152.0, 6944.0]"
826313,0.9480504989624021,11613,10403,Sep 22 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7952.0, 5354.0, 9152.0, 6944.0]"
826314,0.46116504073143005,7247,10403,Sep 22 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,Zanclognatha,,Zanclognatha,Zanclognatha marcidilinea,"[8896.0, 1704.0, 9152.0, 1977.0]"
826315,1.0,8434,10403,Sep 22 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,,,,,"[3695.0, 6745.0, 3987.0, 6924.0]"
826316,0.039888631552457005,6035,10403,Sep 22 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Phycitinae,Moodna,,Moodna,Moodna ostrinella,"[2714.0, 28.0, 2827.0, 245.0]"
826317,0.839657306671142,11613,10359,Oct 1 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[2062.0, 4801.0, 2725.0, 5437.0]"
826318,0.949087858200073,11613,10359,Oct 1 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[0.0, 5735.0, 872.0, 6936.0]"
826319,0.828812599182128,11613,10359,Oct 1 2025,325,CAR,,,Not Lepidoptera,,,,,,,,"[7831.0, 5932.0, 8980.0, 6915.0]"
826320,0.216871008276939,7254,10359,Oct 1 2025,325,CAR,Arthropoda,Insecta,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,Idia,,Idia,Idia rotundalis,"[677.0, 4467.0, 1083.0, 4747.0]"
826321,0.950405180454254,11613,10402,Sep 19 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[1021.0, 1879.0, 2155.0, 2837.0]"
826322,0.902162253856658,11613,10402,Sep 19 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7997.0, 5346.0, 9152.0, 6944.0]"
826323,1.0,11432,10402,Sep 19 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Cochylini,,,,"[6494.0, 1517.0, 6605.0, 1719.0]"
826324,0.9331231117248531,11613,10378,Jun 11 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[0.0, 5888.0, 1751.0, 6402.0]"
826325,0.9407414197921751,11613,10378,Jun 11 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7991.0, 5388.0, 9152.0, 6944.0]"
826326,0.7788065671920771,11613,10381,Jun 20 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7932.0, 6760.0, 8280.0, 6934.0]"
826327,0.799118757247924,11613,10381,Jun 20 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[4369.0, 3241.0, 4468.0, 3412.0]"
826328,0.942972421646118,11613,10381,Jun 20 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[7444.0, 4896.0, 9152.0, 6944.0]"
826329,0.9506904482841491,11613,10381,Jun 20 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[569.0, 357.0, 976.0, 738.0]"
826330,0.5002865195274351,11613,10381,Jun 20 2025,296,SYD,,,Not Lepidoptera,,,,,,,,"[0.0, 5748.0, 584.0, 6944.0]"
826331,0.106631390750408,393,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,Olethreutini,Celypha,Celypha,Celypha cespitana,"[861.0, 152.0, 976.0, 343.0]"
826332,0.278332829475402,6035,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Pyraloidea,Pyralidae,Phycitinae,Moodna,,Moodna,Moodna ostrinella,"[2194.0, 2162.0, 2316.0, 2349.0]"
826333,1.0,6954,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Drepanoidea,Drepanidae,Drepaninae,Drepanini,Drepana,Drepana,Drepana arcuata,"[4892.0, 3796.0, 5492.0, 4149.0]"
826334,0.050119634717702005,7494,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Sparganothini,Cenopis,Cenopis,Cenopis diluticostana,"[3284.0, 2930.0, 3451.0, 3040.0]"
826335,0.229674383997917,237,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Olethreutinae,Grapholitini,Dichrorampha,Dichrorampha,Dichrorampha acuminatana,"[8115.0, 2748.0, 8311.0, 2907.0]"
826336,1.0,4546,10381,Jun 20 2025,296,SYD,Arthropoda,Insecta,Lepidoptera,Tortricoidea,Tortricidae,Tortricinae,Tortricini,Acleris,Acleris,Acleris semipurpurana,"[6787.0, 1450.0, 6896.0, 1620.0]"
